0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
* | Frontespizio | 5
* | Repertorio di agricoltura pratica ... | 7
* | Indice del presente Volume | 670
* | Indice analitico delle materie contenute nei sette volumi del Repertorio d'agricoltura pratica e di economia domestica | 675
* | Copertina | 721
"
340,TO00192802_TO0324_3065_000005,"Repertorio d'agricoltura e di scienze economiche ed industriali Tomo V","nan","[S.l. : s.n.], ",1835,"* | Copertina | 1
* | Frontespizio | 5
* | Repertorio d'Agricoltura ... | 7
* | Indice del Tomo Quarto | 482
* | Errata corrige | 486
* | Copertina | 489
"
341,TO00180515_TO0324_4037_000002,"Bullettino tecnologico ossia raccolta delle principali invenzioni e scoperte nelle arti del medico Rocco ragazzoni Tomo II","nan","Torino : dalla Stamperia Alliana",1829,"* | Frontespizio | 1
* | Bollettino Tecnologico | 3
* | Indice del Secondo Volume del Bullettino Tecnologico | 191
"
342,TO00192802_TO0324_3065_000001,"Repertorio d'agricoltura e di scienze economiche ed industriali Tomo I","nan","[S.l. : s.n.], ",1835,"* | Copertina | 1
* | Frontespizio | 5
* | Prefazione | 7
* | Repertorio d'Agricoltura ... | 13
* | Indice del Tomo Primo | 510
* | Copertina | 519
"
343,TO00192802_TO0324_3065_000002,"Repertorio d'agricoltura e di scienze economiche ed industriali Tomo II","nan","[S.l. : s.n.], ",1835,"* | Copertina | 1
* | Frontespizio | 5
* | Repertorio d'Agricoltura ... | 7
* | Indice del Tomo Secondo | 483
* | Copertina | 489
"
344,TO00180515_TO0324_4037_000005,"Bullettino tecnologico ossia raccolta delle principali invenzioni e scoperte nelle arti del medico Rocco ragazzoni Tomo V","nan","Torino : dalla Stamperia Alliana",1829,"* | Frontespizio | 1
* | Bullettino Tecnologico | 3
* | Indice del Quinto Volume del Bullettino Tecnologico | 201
"
345,TO00180515_TO0324_4037_000004,"Bullettino tecnologico ossia raccolta delle principali invenzioni e scoperte nelle arti del medico Rocco ragazzoni Tomo IV","nan","Torino : dalla Stamperia Alliana",1829,"* | Copertina | 1
* | Frontespizio | 5
* | Bullettino Tecnologico | 7
* | Indice del Quarto Volume del Bullettino Tecnologico | 205
"
346,TO00192790_TO0324_3063_000002,"Repertorio di agricoltura pratica e di economia domestica Tomo II","nan","[S.l. : s.n.]",1828,"* | Frontespizio | 1
* | Carta manoscritta | 3
* | Repertorio di agricoltura pratica ... | 5
* | Indice del presente Volume | 453
* | Copertina | 461
"
347,TO00192790_TO0324_3063_000006,"Repertorio di agricoltura pratica e di economia domestica Tomo VI","nan","[S.l. : s.n.]",1828,"* | Frontespizio | 1
* | Repertorio di agricoltura pratica ... | 3
* | Indice del presente Volume | 469
* | Copertina | 475
"
348,TO00180515_TO0324_4037_000001,"Bullettino tecnologico ossia raccolta delle principali invenzioni e scoperte nelle arti del medico Rocco ragazzoni [Tomo I]","nan","Torino : dalla Stamperia Alliana",1829,"* | Copertina | 1
* | Frontespizio | 5
* | Bollettino Tecnologico ... | 7
* | Indice del Primo Volume del Bollettino Tecnologico | 213
"
349,TO00192790_TO0324_3063_000001,"Repertorio di agricoltura pratica e di economia domestica Tomo I","nan","[S.l. : s.n.]",1828,"* | Copertina | 1
* | Frontespizio | 5
* | Prefazione | 7
* | Repertorio di agricoltura pratica ... | 13
* | Indice del presente Tomo | 484
"
350,TO00192802_TO0324_3065_000004,"Repertorio d'agricoltura e di scienze economiche ed industriali Tomo IV","nan","[S.l. : s.n.], ",1835,"* | Copertina | 1
* | Frontespizio | 5
* | Repertorio d'Agricoltura ... | 7
* | Indice del Tomo Quarto | 479
* | Copertina | 489
"
351,TO00192790_TO0324_3063_000003,"Repertorio di agricoltura pratica e di economia domestica Tomo III","nan","[S.l. : s.n.]",1828,"* | Copertina | 1
* | Frontespizio | 5
* | Repertorio di agricoltura pratica ... | 7
* | Indice del presente Volume | 457
"
352,TO00180515_TO0324_4037_000003,"Bullettino tecnologico ossia raccolta delle principali invenzioni e scoperte nelle arti del medico Rocco ragazzoni Tomo III","nan","Torino : dalla Stamperia Alliana",1829,"* | Frontespizio | 1
* | Utilità delle Macchine | 3
* | Bullettino Tecnologico | 5
* | Indice del Terzo Volume del Bullettino Tecnologico | 183
* | Errata corrige | 192
* | Copertina | 195
"
353,TO00192802_TO0324_3065_000006,"Repertorio d'agricoltura e di scienze economiche ed industriali Tomo VI","nan","[S.l. : s.n.], ",1835,"* | Copertina | 1
* | Frontespizio | 5
* | Repertorio d'Agricoltura ... | 7
* | Indice del Tomo Sesto | 490
* | Copertina | 497
"
354,TO00192790_TO0324_3063_000004,"Repertorio di agricoltura pratica e di economia domestica Tomo IV","nan","[S.l. : s.n.]",1828,"* | Frontespizio | 1
* | Introduzione | 3
* | Repertorio di agricoltura pratica ... | 9
* | Errata corrige | 420
* | Indice del presente Volume | 421
* | Copertina | 427
"
355,TO00192790_TO0324_3063_000005,"Repertorio di agricoltura pratica e di economia domestica Tomo V","nan","[S.l. : s.n.]",1828,"* | Copertina | 1
* | Frontespizio | 5
* | Prefazione | 7
* | Repertorio di agricoltura pratica ... | 9
* | Indice del presente Volume | 411
"
356,TO00191673_TO0324_2838_000013,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 16","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavola | 83
* | Copertina | 85
"
357,TO00191673_TO0324_2838_000025,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 7-8 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavole | 159
* | Copertina | 163
"
358,TO00191673_TO0324_2838_000037,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo V N. 1-2-3 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Occhietto : Propagatore | 3
* | Frontespizio | 5
* | Propagatore | 7
* | Tavole | 227
* | Copertina | 233
"
359,TO00178375_TO0324_980_000003,"Bibliotheque italienne : ou tableau des progres des sciences et des arts en Italie / par les citoyens Julio, Giobert, Vassalli-Eandi et Rossi Vol. III","nan","Turin : de l'Imprimerie nationale, ",1802,"* | Copertina | 1
* | Occhietto : Bibliothèque Italienne | 5
* | Frontespizio | 7
* | Bibliothèque Italienne | 9
* | Copertina | 293
"
360,TO00178375_TO0324_980_000002,"Bibliotheque italienne : ou tableau des progres des sciences et des arts en Italie / par les citoyens Julio, Giobert, Vassalli-Eandi et Rossi Vol. II","nan","Turin : de l'Imprimerie nationale, ",1802,"* | Copertina | 1
* | Occhietto : Bibliothèque Italienne | 5
* | Frontespizio | 7
* | Bibliothèque Italienne | 9
* | Table des matières contenue dans ce volume | 289
* | Copertina | 295
"
361,TO00191673_TO0324_2838_000033,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 7 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Occhietto : Propagatore | 3
* | Compilatori | 4
* | Frontespizio | 5
* | Propagatore | 7
* | Tavola | 83
* | Copertina | 85
"
362,TO00191673_TO0324_2838_000029,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo III N. 1 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Occhietto : Propagatore | 3
* | Compilatori | 4
* | Frontespizio | 5
* | Propagatore | 7
* | Tavola | 83
* | Copertina | 85
"
363,TO00175326_TO0324_380_000004,"Annali di fisica, chimica e scienze affini coi bollettini di farmacia e di tecnologia Seconda Serie Tomo IV","nan","Torino : [s.n.]",1841,"* | Frontespizio | 1
* | Annali di Fisica, Chimica e Scienze affini | 3
* | Appendice | 322
* | Indice | 331
* | Avviso | 336
* | Copertina | 339
"
364,TO00191673_TO0324_2838_000016,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo V N. 19","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Occhietto : Propagatore | 3
* | Frontespizio | 5
* | Propagatore | 7
* | Errata corrige | 119
* | Tavola | 123
* | Copertina | 125
"
365,TO00191673_TO0324_2838_000027,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 10 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Errata corrige | 82
* | Tavola | 83
* | Copertina | 85
"
366,TO00191673_TO0324_2838_000012,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 15","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Errata corrige | 82
* | Tavola | 83
* | Copertina | 85
"
367,TO00191673_TO0324_2838_000032,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo III N. 6 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Indice tomo VIII | 75
* | Errata corrige | 82
* | Tavola | 83
* | Copertina | 85
"
368,TO00191673_TO0324_2838_000003,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo I N. III","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Indice generale delle materie contenute nel presente tomo | 157
* | Imprimatur | 162
* | Tavole | 163
* | Copertina | 167
"
369,TO00191673_TO0324_2838_000002,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo I N. II","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavole | 163
* | Copertina | 167
"
370,TO00191673_TO0324_2838_000018,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo V N. 21","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Copertina | 83
"
371,TO00175326_TO0324_380_000002,"Annali di fisica, chimica e scienze affini coi bollettini di farmacia e di tecnologia Seconda Serie Tomo II","nan","Torino : [s.n.]",1841,"* | Frontespizio | 1
* | Annali di Fisica, Chimica e Scienze affini | 3
* | Appendice | 323
* | Indice | 331
* | Copertina | 339
"
372,TO00175326_TO0324_380_000003,"Annali di fisica, chimica e scienze affini coi bollettini di farmacia e di tecnologia Seconda Serie Tomo III","nan","Torino : [s.n.]",1841,"* | Copertina | 1
* | Frontespizio | 5
* | Annali di Fisica, Chimica e Scienze affini | 7
* | Appendice | 322
* | Indice | 334
* | Errata corrige | 340
"
373,TO00191673_TO0324_2838_000005,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 5","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavole | 163
* | Copertina | 167
"
374,TO00191673_TO0324_2838_000009,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 11-12","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Indice generale delle materie contenute nel presente tomo | 165
* | Tavole | 171
* | Copertina | 175
"
375,TO00191673_TO0324_2838_000031,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo III N. 4-5 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Errata corrige | 162
* | Tavole | 163
* | Copertina | 167
"
376,TO00191673_TO0324_2838_000017,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo V N. 20","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Imprimatur | 90
* | Errata corrige | 91
* | Tavole | 93
* | Copertina | 97
"
377,TO00191673_TO0324_2838_000020,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo V N. 23-24","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Errata corrige | 138
* | Indice del tomo V | 142
* | Manifesto di associazione al Propagatore | 145
* | Tavole | 147
* | Copertina | 151
"
378,TO00191673_TO0324_2838_000023,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo I N. 4 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavola | 83
* | Copertina | 85
"
379,TO00191673_TO0324_2838_000015,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 18","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Indice generale delle materie contenute nel quarto tomo | 79
* | Tavola | 83
* | Copertina | 85
"
380,TO00191673_TO0324_2838_000038,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo VI N. 4-5-6 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Indice del tomo X | 175
* | Avviso | 178
* | Tavole | 179
* | Copertina | 183
"
381,TO00191673_TO0324_2838_000028,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 11-12 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Frontespizio | 3
* | Occhietto : Propagatore | 5
* | Compilatori | 6
* | Propagatore | 7
* | Indice del tomo VII | 157
* | Avviso | 166
* | Tavole | 167
* | Copertina | 171
"
382,TO00178375_TO0324_980_000005,"Bibliotheque italienne : ou tableau des progres des sciences et des arts en Italie / par les citoyens Julio, Giobert, Vassalli-Eandi et Rossi Vol. V","nan","Turin : de l'Imprimerie nationale, ",1802,"* | Copertina | 1
* | Occhietto : Bibliothèque Italienne | 5
* | Frontespizio | 7
* | Bibliothèque Italienne | 9
* | Table des matières contenue dans ce volume | 290
* | Copertina | 295
"
383,TO00178375_TO0324_980_000001,"Bibliotheque italienne : ou tableau des progres des sciences et des arts en Italie / par les citoyens Julio, Giobert, Vassalli-Eandi et Rossi Vol. I","nan","Turin : de l'Imprimerie nationale, ",1802,"* | Copertina | 1
* | Occhietto : Bibliothèque Italienne | 5
* | Frontespizio | 7
* | Bibliothèque Italienne | 9
* | Table des matières contenue dans ce volume | 289
* | Copertina | 295
"
384,TO00191673_TO0324_2838_000022,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo I N. 3 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavola | 83
* | Copertina | 85
"
385,TO00191673_TO0324_2838_000036,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 12 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavole | 83
* | Copertina | 95
"
386,TO00191673_TO0324_2838_000019,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo V N. 22","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Errata corrige | 90
* | Tavola | 91
* | Copertina | 93
"
387,TO00191673_TO0324_2838_000035,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 10-11 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavola | 147
* | Copertina | 149
"
388,TO00191673_TO0324_2838_000007,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 7-8","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Libri nuovamente stampati in Italia | 3
* | Indice generale delle materie contenute nel presente tomo | 5
* | Tavole | 11
* | Occhietto : Propagatore | 15
* | Frontespizio | 17
* | Propagatore | 19
* | Tavole | 175
* | Copertina | 179
"
389,TO00191673_TO0324_2838_000021,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo I N. 1-2 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Tavola sinottica dei Combustibili Fossili del Piemonte | 4
* | Propagatore | 5
* | Tavole | 145
* | Copertina | 149
"
390,TO00191673_TO0324_2838_000004,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 4","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Occhietto : Propagatore | 3
* | Frontespizio | 5
* | Prospetto al tomo secondo del Propagatore ... | 7
* | Propagatore | 15
* | Tavole | 163
* | Copertina | 167
"
391,TO00191673_TO0324_2838_000001,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo I N. I","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Occhietto : Propagatore | 3
* | Frontespizio | 5
* | Propagatore | 7
* | Tavole | 171
* | Copertina | 175
"
392,TO00191673_TO0324_2838_000034,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 8-9 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavola | 163
* | Copertina | 165
"
393,TO00191673_TO0324_2838_000026,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 9 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavola | 83
* | Copertina | 85
"
394,TO00191673_TO0324_2838_000008,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 9-10","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavole | 163
* | Copertina | 167
"
395,TO00191673_TO0324_2838_000011,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 14","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavola | 83
* | Copertina | 85
"
396,TO00175326_TO0324_380_000001,"Annali di fisica, chimica e scienze affini coi bollettini di farmacia e di tecnologia Seconda Serie Tomo I","nan","Torino : [s.n.]",1841,"* | Copertina | 1
* | Frontespizio | 5
* | Proemio | 7
* | Annali di Fisica, Chimica e Scienze affini | 23
* | Appendice | 342
* | Errata corrige | 345
* | Indice | 346
"
397,TO00178375_TO0324_980_000004,"Bibliotheque italienne : ou tableau des progres des sciences et des arts en Italie / par les citoyens Julio, Giobert, Vassalli-Eandi et Rossi Vol. IV","nan","Turin : de l'Imprimerie nationale, ",1802,"* | Copertina | 1
* | Occhietto : Bibliothèque Italienne | 5
* | Frontespizio | 7
* | Bibliothèque Italienne | 9
* | Table des matières contenue dans ce volume | 289
* | Copertina | 295
"
398,TO00191673_TO0324_2838_000014,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV N. 17","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Tavola | 83
* | Copertina | 85
"
399,TO00191673_TO0324_2838_000006,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo II N. 6","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Copertina | 147
"
400,TO00191673_TO0324_2838_000010,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo IV Primo Fascicolo","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Occhietto : Propagatore | 3
* | Frontespizio | 5
* | Propagatore | 7
* | Tavola | 83
* | Copertina | 85
"
401,TO00191673_TO0324_2838_000024,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo I N. 5-6 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Frontespizio | 3
* | Occhietto : Propagatore | 5
* | Compilatori | 6
* | Propagatore | 7
* | Indice del tomo I | 157
* | Errata corrige | 166
* | Tavole | 167
* | Copertina | 171
"
402,TO00191673_TO0324_2838_000030,"Il propagatore : ossia raccolta periodica delle cose appartenenti ai progressi dell'industria, e specialmente di quelle riguardanti l'agricoltura, le arti e la medicina / compilata dal medico Giovanni Finazzi Tomo III N. 2-3 Serie Seconda","nan","Torino : Pomba",1824,"* | Copertina | 1
* | Propagatore | 3
* | Errata corrige | 166
* | Avviso | 166
* | Tavola | 167
* | Copertina | 171
"
403,TO0E039283_TO0324_PNI-1555_000000,"On the application of analysis to the discovery of local theorems and porisms. By Charles Babbage ..","Babbage, Charles","Edinburgh : printed by P. Neill",1822,"* | Frontespizio | 1
* | Epigramma | 2
* | On the application of analysis to the discovery of local theorems and poems. | 3
"
404,TO0E039289_TO0324_PNI-1557_000000,"An examination of some questions connected with games of chance. By Charles Babbage ..","Babbage, Charles","Edinburgh : printed by P. Neill",1820,"* | Frontespizio | 1
* | Examinations of some questions connected with Games of Change | 3
"
405,RMLE017269_TO0324_PNI-13083_000001,"Introductio ad Philosophiam Naturalem auctore Petro van Musschenbroekio. Editio prima italica pluribus adnotationibus emendata aucta atque illustrata. Tomus primus (-secundus) Tomus primus","Musschenbroek, Petrus : van","",,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : Hieronymo Grimani Senatori Amplissimo  | 7
* | Praefatio editionis primae hujus operis Lugduni Batavorum. MDCCLXII Joannes Lulofs | 13
* | Patavinus Typographus ad lectorem | 18
* | Ordo capitum | 19
* | Introductio ad Philosophiam | 21
* | Noi riformatori dello Studio di Padova | 498
* | Copertina | 503
"
406,TO0E039268_TO0324_PNI-1546_000000,"A letter to sir Humphry Davy, Bart. president of the Royal Society, etc. etc. on the application of machinery to the purpose of calculating and printing mathematical tables. From Charles Babbage ...","Babbage, Charles","London : printed by R. and A. Taylor, Shoe-Lane published by J. Booth, Duke-Street, Portland-Place and Baldwin, Cradock, and Joy ...",1822,"* | Frontespizio | 1
* | A letter to Sir Humphry Davy, Bart. | 3
"
407,MOD0579350_TO0324_59567_000000,"On the absorption of light by coloured media, viewed in connexion with the undulatory theory / by sir J.F.W. Herschel","Herschel, John Frederick William","[Londra] : Taylor",1833,"* | Frontespizio | 1
* | On the Absorption of light by coloured media, viewed in connexion with the undolatory theory. by Sir J. F. W. Herschel, K.H. | 1
"
408,TO0E039256_TO0324_PNI-1543_000000,"On the lines that divide each semidiurnal arc into six equal parts. By W.A. Cadell ...","Cadell, William Archibald","Edimburgh : printed by Neill & Co.",1816,"* | Frontespizio | 1
* | On the lines that divide each semidiurnal arc into six equal parts. | 3
"
409,SBLE010535_TO0324_PNI-1630_000000,"Account of a series of observations, made in the summer of the year 1825, for the purpose of determining the difference of the Meridians of the Royal Observatories of Greenwich and Paris drown up by J. F. W. Herschel","Herschel, John Frederick William","London : Printed by W. Nicol",1826,"* | Frontespizio | 1
* | Epigramma | 2
* | Account of a series of observations, etc. | 3
"
410,UFIE003101_TO0324_PNI-2703_000000,"Essai d'optique, sur la gradation de la lumière. Par m. Bouguer ...","Bouguer, Pierre","A Paris : chez Claude Jombert, rue S. Jacques, au coin de la rue des Mathurins, a l'Image Notre-Dame",1729,"* | Copertina | 1
* | Frontespizio | 7
* | Dedica : A Monseigneur le Comte de Maurepas, Ministre et Secretaire d'Etat, et Commandeur des Ordres de Sa Majesté | 9
* | Préface | 13
* | Imprimatur | 25
* | Privilege du Roi | 25
* | Essai d'Optique sur la gradation de la Lumière | 29
* | Tavole | 193
* | Errata corrige | 199
* | Copertina | 203
"
411,TO0E039502_TO0324_PNI-1635_000000,"Account of the repetition of M. Arago's experiments on the magnetism manifested by various substances during the act of rotation. By C. Babbage ... and J. F. W. Herschel ..","Babbage, Charles","London : printed by W. Nicol, Cleveland-row, St. James's",1825,"* | Frontespizio | 1
* | Epigramma | 2
* | Account of the repetition of M. Arago's experiments, etc. | 3
"
412,TO01157442_TO0324_62167_000000,"Laws of mechanical notation (for consideration) / [C. Babbage]","Babbage, Charles","[s.l.] : [s.n.], ",1851,"* | Frontespizio | 1
* | Laws of Mechanical, Notation | 1
* | Copertina | 9
"
413,TO0E131682_TO0324_PNI-22871_000000,"Minutes of the Council of the Royal Society relating to the report of the Committee on Mr. Babbage's Calculating machine. February 12, 1829","nan","London : Printed by William Clowes",1829,"* | Frontespizio | 1
* | Minutes of the Council of the Royal Society relating to the Report of the Committee on Mr. Babbage's Calculating Machine | 1
* | Colophon | 4
